"name","ismonitor","min","max","count"
"Afghanistan",True,"2019-10-20T22:30:00+00:00","2021-08-16T18:00:00+00:00","2"
"Afghanistan",False,"2021-02-08T10:16:01+00:00","2023-10-03T14:27:41+00:00","1"
"Algeria",True,"2019-06-15T22:00:00+00:00","2023-10-03T14:00:00+00:00","1"
"Angola",False,"2021-01-19T23:58:20+00:00","2023-07-06T08:59:31+00:00","3"
"Antarctica",True,"2018-11-30T11:00:00+00:00","2021-02-04T14:00:00+00:00","2"
"Argentina",True,"2016-01-01T03:00:00+00:00","2023-10-04T03:00:00+00:00","7"
"Argentina",False,"2022-11-26T13:12:02+00:00","2023-10-03T14:28:59+00:00","8"
"Armenia",False,"2021-01-14T01:19:07+00:00","2023-10-03T14:28:42+00:00","6"
"Armenia",True,"2022-11-14T08:00:00+00:00","2023-06-15T11:00:00+00:00","1"
"Australia",True,"2016-02-16T01:00:00+00:00","2023-10-04T12:24:23+00:00","223"
"Australia",False,"2020-02-27T19:20:12+00:00","2023-10-03T14:29:05+00:00","516"
"Austria",False,"2021-01-13T21:56:49+00:00","2023-10-03T14:28:37+00:00","11"
"Austria",True,"2016-11-18T05:00:00+00:00","2023-10-03T13:00:00+00:00","283"
"Azerbaijan",True,"2022-06-23T12:00:00+00:00","2023-10-03T12:00:00+00:00","1"
"Azerbaijan",False,"2020-09-26T16:33:49+00:00","2023-10-03T14:27:33+00:00","1"
"Bangladesh",True,"2016-03-10T22:00:00+00:00","2023-10-03T19:00:00+00:00","4"
"Bangladesh",False,"2021-10-06T16:20:49+00:00","2023-10-03T14:28:37+00:00","44"
"Belgium",True,"2016-01-30T01:00:00+00:00","2023-10-03T14:00:00+00:00","109"
"Belgium",False,"2021-01-14T01:18:20+00:00","2023-10-03T14:29:02+00:00","10"
"Belize",True,"2023-03-19T20:00:00+00:00","2023-10-01T13:00:00+00:00","1"
"Belize",False,"2021-01-19T23:59:53+00:00","2023-10-03T14:29:02+00:00","5"
"Benin",False,"2021-01-20T00:00:18+00:00","2021-02-17T15:31:04+00:00","1"
"Bolivia",False,"2021-01-14T01:18:46+00:00","2023-10-03T14:28:54+00:00","15"
"Bosnia and Herz.",False,"2021-01-11T18:09:02+00:00","2023-10-03T14:29:05+00:00","68"
"Bosnia and Herz.",True,"2016-04-26T21:30:00+00:00","2023-10-03T15:00:00+00:00","20"
"Brazil",True,"2017-07-01T00:00:00+00:00","2023-10-03T13:00:00+00:00","74"
"Brazil",False,"2020-06-04T23:22:49+00:00","2023-10-03T14:29:06+00:00","183"
"Bulgaria",True,"2020-04-20T18:00:00+00:00","2023-10-03T12:00:00+00:00","23"
"Bulgaria",False,"2021-01-14T01:18:30+00:00","2023-10-03T14:29:00+00:00","93"
"Burkina Faso",False,"2021-01-20T21:29:56+00:00","2021-03-23T23:51:55+00:00","1"
"Burundi",False,"2022-06-01T15:11:30+00:00","2023-10-03T12:26:40+00:00","2"
"Cameroon",False,"2019-02-01T16:16:50+00:00","2023-10-03T14:27:39+00:00","10"
"Canada",False,"2018-05-23T22:25:32+00:00","2023-10-03T14:29:06+00:00","2016"
"Canada",True,"2016-03-06T19:00:00+00:00","2023-10-03T14:00:00+00:00","316"
"Central African Rep.",False,"2022-01-19T22:39:57+00:00","2023-10-03T14:26:05+00:00","2"
"Chad",False,"2021-01-23T11:44:18+00:00","2021-02-28T07:35:45+00:00","1"
"Chad",True,"2020-08-02T20:00:00+00:00","2023-10-03T11:00:00+00:00","1"
"Chile",True,"2016-01-30T01:00:00+00:00","2023-10-03T11:00:00+00:00","140"
"Chile",False,"2020-01-29T17:38:09+00:00","2023-10-03T14:28:54+00:00","86"
"China",True,"2016-01-01T01:00:00+00:00","2023-10-03T13:00:00+00:00","1865"
"China",False,"2021-01-29T06:59:55+00:00","2023-10-03T14:28:53+00:00","11"
"Colombia",True,"2016-03-17T15:00:00+00:00","2023-10-03T13:00:00+00:00","56"
"Colombia",False,"2020-04-21T12:45:46+00:00","2023-10-03T14:29:00+00:00","90"
"Costa Rica",True,"2019-10-28T18:00:00+00:00","2023-10-03T07:00:00+00:00","1"
"Costa Rica",False,"2021-01-19T23:59:01+00:00","2023-10-03T14:25:11+00:00","2"
"Côte d'Ivoire",True,"2020-03-15T21:00:00+00:00","2023-10-03T13:00:00+00:00","1"
"Côte d'Ivoire",False,"2021-01-14T01:18:35+00:00","2023-06-19T08:12:08+00:00","4"
"Croatia",False,"2021-01-19T23:58:39+00:00","2023-10-03T14:27:26+00:00","4"
"Croatia",True,"2016-11-17T22:00:00+00:00","2023-10-03T11:00:00+00:00","15"
"Cyprus",False,"2020-11-24T20:13:42+00:00","2023-10-03T14:28:43+00:00","10"
"Cyprus",True,"2020-04-20T16:00:00+00:00","2023-10-03T13:00:00+00:00","10"
"Czechia",True,"2016-11-21T11:00:00+00:00","2023-10-03T12:00:00+00:00","111"
"Czechia",False,"2021-01-14T01:18:26+00:00","2023-10-03T14:28:55+00:00","16"
"Dem. Rep. Congo",False,"2021-01-20T00:02:04+00:00","2023-10-03T14:28:25+00:00","4"
"Dem. Rep. Congo",True,"2022-06-16T16:00:00+00:00","2023-05-09T15:00:00+00:00","1"
"Denmark",True,"2016-11-21T11:00:00+00:00","2023-10-03T13:00:00+00:00","12"
"Denmark",False,"2021-01-14T01:18:49+00:00","2023-10-03T14:28:45+00:00","10"
"Dominican Rep.",False,"2021-05-07T01:54:56+00:00","2021-08-11T13:58:51+00:00","1"
"Ecuador",False,"2021-08-16T16:21:38+00:00","2023-10-03T14:28:40+00:00","9"
"Ecuador",True,"2020-12-29T05:00:00+00:00","2021-11-24T16:00:00+00:00","8"
"Egypt",True,"2022-06-20T18:00:00+00:00","2023-09-25T14:00:00+00:00","1"
"Egypt",False,"2022-01-07T09:32:20+00:00","2023-10-03T12:00:00+00:00","2"
"El Salvador",False,"2022-01-07T09:30:48+00:00","2023-07-06T17:43:51+00:00","2"
"Estonia",True,"2020-04-20T20:00:00+00:00","2021-09-23T19:00:00+00:00","6"
"Ethiopia",True,"2016-08-18T22:00:00+00:00","2023-10-03T16:00:00+00:00","3"
"Ethiopia",False,"2020-10-05T21:30:58+00:00","2023-10-03T14:28:51+00:00","25"
"Fiji",False,"2021-01-08T23:15:31+00:00","2023-08-28T21:33:44+00:00","4"
"Finland",False,"2021-01-14T01:19:09+00:00","2023-10-03T14:27:55+00:00","7"
"Finland",True,"2016-12-10T19:00:00+00:00","2023-10-03T13:00:00+00:00","52"
"France",False,"2021-01-12T18:48:54+00:00","2023-10-03T14:28:58+00:00","44"
"France",True,"2016-11-17T23:00:00+00:00","2023-10-03T14:00:00+00:00","589"
"Gabon",True,"2021-10-06T12:00:00+00:00","2022-02-27T19:00:00+00:00","1"
"Gabon",False,"2021-06-25T21:06:52+00:00","2023-10-03T14:29:02+00:00","13"
"Gambia",False,"2021-01-19T23:58:44+00:00","2023-09-15T23:03:55+00:00","3"
"Georgia",False,"2022-01-20T16:29:28+00:00","2023-10-03T14:29:06+00:00","10"
"Germany",False,"2020-10-10T00:27:57+00:00","2023-10-03T14:29:04+00:00","52"
"Germany",True,"2016-01-30T01:00:00+00:00","2023-10-03T14:00:00+00:00","433"
