"iso_alpha3","country","population","pm2021","aq_monitoring","open_data","aq_standard","tot_monitor","govt","other","monitor_density","Funding in USD million","pm_qtile","pop_qtile","monitor_dens_qtile","gbd_dummy","registry","Income.classification","aq_mon_dummy","open_data_dummy","aq_std_dummy","num_loc_dummy","govt_dummy","other_dummy","funding_dummy","pm_quintile","pop_quintile","mon_dens_quintile","opportunity_score","bands"
"COD","Democratic Republic of the Congo",104994937,34.64,"N","N","N",5,1,4,0.0476213438748956,3.687839,5,5,1,1,1,NA,1,1,1,2,1,1,0,2,2,0.2,13.2,"High"
"CMR","Cameroon",28568738,30.98,"N","N","N",10,NA,10,0.350032962604088,0.598264,5,4,2,1,1,NA,1,1,1,2,1,1,0,2,1.6,0.4,13,"High"
"HND","Honduras",9310136,25.14,"N","N","N",5,NA,5,0.537049082849058,NA,5,3,2,1,0,NA,1,1,1,2,1,1,1,2,1.2,0.4,12.6,"High"
"GNQ","Equatorial Guinea",839050,29.06,"N","N","N",NA,NA,NA,NA,NA,5,1,NA,1,0,NA,1,1,1,2,1,1,1,2,0.4,1,12.4,"High"
"BTN","Bhutan",858187,30.59,"N","N","N",NA,NA,NA,NA,NA,5,1,NA,1,0,NA,1,1,1,2,1,1,1,2,0.4,1,12.4,"High"
"LSO","Lesotho",2176476,23.11,"N","N","N",NA,NA,NA,NA,NA,5,1,NA,1,0,NA,1,1,1,2,1,1,1,2,0.4,1,12.4,"High"
"BDI","Burundi",12242276,31.91,"N","N","N",2,NA,2,0.16336831484603,NA,5,3,1,1,0,NA,1,1,1,2,1,1,1,2,1.2,0.2,12.4,"High"
"ZMB","Zambia",19089070,18.5,"N","N","N",3,NA,3,0.157157996696539,0.005352,4,4,1,1,0,NA,1,1,1,2,1,1,1,1.6,1.6,0.2,12.4,"High"
"AGO","Angola",33430596,16.89,"N","N","N",3,NA,3,0.0897381548327765,NA,4,4,1,0,1,NA,1,1,1,2,1,1,1,1.6,1.6,0.2,12.4,"High"
"CAF","Central African Republic",5395752,25.57,"N","N","N",2,NA,2,0.370661957777155,0.003748,5,2,2,1,0,NA,1,1,1,2,1,1,1,2,0.8,0.4,12.2,"High"
"COG","Republic of the Congo",5459096,32.41,"N","N","N",NA,NA,NA,NA,0.177365,5,2,NA,1,0,NA,1,1,1,2,1,1,0,2,0.8,1,11.8,"High"
"BOL","Bolivia",11759069,25.19,"Y","N","N",15,NA,15,1.27561118996751,NA,5,3,3,1,1,NA,0,1,1,2,1,0,1,2,1.2,0.6,11.8,"High"
