objectid_gadm0,iso_alpha3,country,population,whostandard,natstandard,pm1998,pm1999,pm2000,pm2001,pm2002,pm2003,pm2004,pm2005,pm2006,pm2007,pm2008,pm2009,pm2010,pm2011,pm2012,pm2013,pm2014,pm2015,pm2016,pm2017,pm2018,pm2019,pm2020,pm2021,llpp_who_1998,llpp_who_1999,llpp_who_2000,llpp_who_2001,llpp_who_2002,llpp_who_2003,llpp_who_2004,llpp_who_2005,llpp_who_2006,llpp_who_2007,llpp_who_2008,llpp_who_2009,llpp_who_2010,llpp_who_2011,llpp_who_2012,llpp_who_2013,llpp_who_2014,llpp_who_2015,llpp_who_2016,llpp_who_2017,llpp_who_2018,llpp_who_2019,llpp_who_2020,llpp_who_2021,llpp_nat_1998,llpp_nat_1999,llpp_nat_2000,llpp_nat_2001,llpp_nat_2002,llpp_nat_2003,llpp_nat_2004,llpp_nat_2005,llpp_nat_2006,llpp_nat_2007,llpp_nat_2008,llpp_nat_2009,llpp_nat_2010,llpp_nat_2011,llpp_nat_2012,llpp_nat_2013,llpp_nat_2014,llpp_nat_2015,llpp_nat_2016,llpp_nat_2017,llpp_nat_2018,llpp_nat_2019,llpp_nat_2020,llpp_nat_2021
1,AFG,Afghanistan,37461801,5,35,10.88,10.7,11.88,13.89,13.58,13.88,12.56,14.23,14.59,13.83,14.79,15.09,15.26,18.31,16.34,14.97,15.49,16.09,16.2,15.25,14.04,16.56,16.57,16.9,0.58,0.56,0.67,0.87,0.84,0.87,0.74,0.9,0.94,0.87,0.96,0.99,1.01,1.3,1.11,0.98,1.03,1.09,1.1,1,0.89,1.13,1.13,1.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,XAD,Akrotiri and Dhekelia,24378,5,NA,11.74,11.67,13.73,12.67,10.96,11.43,10.63,11.74,11.6,11.99,11.74,12.08,10.38,15.61,17.16,11.96,11.13,11.77,10.76,11.23,9.97,9.74,10.71,11.15,0.66,0.65,0.86,0.75,0.58,0.63,0.55,0.66,0.65,0.69,0.66,0.69,0.53,1.04,1.19,0.68,0.6,0.66,0.56,0.61,0.49,0.46,0.56,0.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,ALB,Albania,3082234,5,25,16.86,15.43,17.33,16.42,18.07,20.11,15.78,17.4,19.62,18.15,15.38,14.59,11.8,20.51,17.55,14.53,12.87,16.26,13.65,15.04,14.43,13.65,13.09,13.53,1.16,1.02,1.21,1.12,1.28,1.48,1.06,1.22,1.43,1.29,1.02,0.94,0.67,1.52,1.23,0.93,0.77,1.1,0.85,0.98,0.92,0.85,0.79,0.84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,DZA,Algeria,43480294,5,NA,6.41,5.72,6.12,6.19,6.18,7.64,5.52,7.09,7.07,6.92,5.86,6.65,5.52,7.03,6.85,6.59,5.36,7.02,5.61,6.62,6.05,6.09,5.83,6.15,0.14,0.07,0.11,0.12,0.12,0.26,0.05,0.2,0.2,0.19,0.08,0.16,0.05,0.2,0.18,0.16,0.04,0.2,0.06,0.16,0.1,0.11,0.08,0.11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,ASM,American Samoa,43160,5,NA,0.73,0.82,1.11,1.01,1.17,1.21,0.96,1.41,1.22,1.24,1.02,1.23,1.02,0.95,1.11,1.1,1.22,1.49,1.26,1.29,1.39,1.34,1.07,1.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6,AND,Andorra,85635,5,25,8.66,8.39,8.96,9.54,9.68,10.47,9.47,9.97,9.18,9.3,8.53,8.86,9.48,8.99,7.9,7.58,6.76,7.46,6.89,6.86,7.23,6.03,6.67,7.55,0.36,0.33,0.39,0.44,0.46,0.54,0.44,0.49,0.41,0.42,0.35,0.38,0.44,0.39,0.28,0.25,0.17,0.24,0.19,0.18,0.22,0.1,0.16,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,AGO,Angola,33430596,5,NA,18.42,15.91,17.46,21.96,19.69,18.29,19.12,21.11,17.3,21.09,22.43,20.2,23.96,21.76,21.79,21.82,19.13,20.55,20.37,18.41,19.02,20.57,17.53,16.89,1.32,1.07,1.22,1.66,1.44,1.3,1.38,1.58,1.21,1.58,1.71,1.49,1.86,1.64,1.65,1.65,1.38,1.52,1.51,1.31,1.37,1.53,1.23,1.17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8,AIA,Anguilla,16664,5,NA,2.67,3.58,2.96,3.21,2.31,2.61,2.46,3.39,3.05,2.61,2.39,2.55,4.13,2.41,3.05,2.02,2.03,2.28,2.57,2.41,2.08,2.01,2.06,2.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9,ATG,Antigua and Barbuda,93902,5,NA,2.76,3.33,3.11,3.13,2.5,2.87,2.85,3.44,3.21,2.65,2.68,3.04,4.13,2.87,3.05,2.23,2.29,2.53,2.83,2.53,2.5,2.41,2.1,2.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10,ARG,Argentina,45888555,5,15,11.43,12.48,11.86,11.78,11.93,12.05,11.59,10.81,11.98,12.38,12.37,10.84,10.23,11.2,11.09,11,11.3,11.05,11.18,10.87,10.55,10.76,12.2,11.15,0.63,0.73,0.67,0.66,0.68,0.69,0.65,0.57,0.68,0.72,0.72,0.57,0.51,0.61,0.6,0.59,0.62,0.59,0.61,0.58,0.54,0.56,0.71,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
