country,aaqs_countries_unep_2021_report,region_if_any,natstandard_pm2.5_old_2022_report_micr_grm_cubic_meter,natstandard_pm2.5_new_2023_report_micr_grm_cubic_meter_op1,natstandard_pm2.5_new_2023_report_micr_grm_cubic_meter_op2_if_any,Source,comments,,,
Afghanistan,1,,10,35,10,"Link1, Link2","The latest year in which these standards were set seems to be 2019. Not sure where our old standard of 10 micrograms per cubic meter comes from. For now, I have kept the old standard as option 2`.",,,
Akrotiri and Dhekelia,0,,0,No national standard,No national standard,,,,,
Åland,0,,0,No national standard,No national standard,,,,,
Albania,1,EU,15,25,20,same as Austria,"As its part of EU, the reference standard should be EU's standard. Keeping 20 as the second option, which is an indicative standard. But, keep an eye out for this because EU might further make their standards more stringent and more in line with WHO.",,,
Algeria,1,,,No national standard,No national standard,"Link, chatGPT","Could not find a national PM2.5 standard. But, according to chatGPT it has an annual average PM2.5 standard for PM10, which is 40 micrograms per cubic meter.",,,
American Samoa,0,,0,No national standard,No national standard,,,,,
Andorra,1,,25,25,,"chatGPT, European Environmental Agency, WHO",Adopted from Eu standards,,,
Angola,0,,0,No national standard,No national standard,,,,,
Anguilla,0,,0,No national standard,No national standard,,,,,
Antigua and Barbuda,1,,,No national standard,No national standard,,Could not find a national PM2.5 standard,,,
Argentina,1,,15,15,,Link,,,,
Armenia,1,,,No national standard,No national standard,Link,,,,
Aruba,0,,0,No national standard,No national standard,,,,,
Australia,1,,8,8,,Link,,,,0
Austria,1,EU,25,25,20,"Link1, Link2, Link3Main","As its part of EU, the reference standard should be EU's standard. Keeping 20 as the second option, which is an indicative standard. But, keep an eye out for this because EU might further make their standards more stringent and more in line with WHO.",,,
Azerbaijan,1,,,No national standard,,Link,,,,
Bahamas,0,,0,No national standard,No national standard,,,,,
Bahrain,1,,,No national standard,No national standard,"Link1, Link2","Got this read by someone, who knows Arabic and it seems like there is no mention of PM2.5 in it. But, double check this.",,,
Bangladesh,1,,15,15,,Link,,,,
Barbados,0,,0,10,,Link,"Even though Barbados does not come in the UNEP list of countries with NAAQS, I found this article according to which , it seems like there are some legislative instruments, and also certain specific standards for various pollutants in Barbados.",,,
Belarus,1,,15,No national standard,,,Couldn't find an updated source. Putting in NA.,,,
Belgium,1,EU,25,25,20,same as Austria,"As its part of EU, the reference standard should be EU's standard. Keeping 20 as the second option, which is an indicative standard. But, keep an eye out for this because EU might further make their standards more stringent and more in line with WHO.",,,
Belize,0,,0,No national standard,No national standard,,,,,
Benin,1,,,No national standard,No national standard,,,,,
Bermuda,0,,30,No national standard,,,Couldn't find an updated source. Choosing what we had previously.,,,
Bhutan,1,,,No national standard,No national standard,Link,,,,
Bolivia,1,,10,No national standard,,,Couldn't find an updated source. Choosing what we had previously.,,,
"Bonaire, Sint Eustatius and Saba",0,,0,No national standard,No national standard,,,,,
Bosnia and Herzegovina,1,,25,25,,,Couldn't find an updated source. Choosing what we had previously.,,,
Botswana,0,,0,No national standard,No national standard,,,,,
Bouvet Island,0,,0,No national standard,No national standard,,,,,
Brazil,1,,,No national standard,No national standard,Link,,,,
British Indian Ocean Territory,0,,0,No national standard,No national standard,,,,,
British Virgin Islands,0,,0,No national standard,No national standard,,,,,
Brunei,0,,0,No national standard,No national standard,,,,,
Bulgaria,1,EU,25,25,20,same as Austria,"As its part of EU, the reference standard should be EU's standard. Keeping 20 as the second option, which is an indicative standard. But, keep an eye out for this because EU might further make their standards more stringent and more in line with WHO.",,,
Burkina Faso,1,,,No national standard,No national standard,Link,,,,
Burundi,0,,0,No national standard,No national standard,,,,,
Cabo Verde,0,,0,No national standard,No national standard,,,,,
