country,cause_of_death,lyl
Afghanistan,Alcohol use,0.046968811
Afghanistan,Ambient ozone pollution,0.037076023
Afghanistan,PM2.5 relative to WHO guideline,1.2
Afghanistan,Cardiovascular diseases,7.549268997
Afghanistan,Child and maternal malnutrition,1.719918129
Afghanistan,Childhood sexual abuse and bullying,0.001025341
Afghanistan,Chronic respiratory diseases,0.560797271
Afghanistan,Diabetes and kidney diseases,0.846267052
Afghanistan,Dietary risks,2.70254581
Afghanistan,Digestive diseases,0.520070176
Afghanistan,Drug use,0.051892788
Afghanistan,Enteric infections,0.244360624
Afghanistan,HIV/AIDS and sexually transmitted infections,0.037639376
Afghanistan,High LDL cholesterol,1.680576999
Afghanistan,High body-mass index,1.940937611
Afghanistan,High fasting plasma glucose,2.314493171
Afghanistan,High systolic blood pressure,3.508627676
Afghanistan,Household air pollution from solid fuels,2.053237814
Afghanistan,Intimate partner violence,0.019493177
Afghanistan,Kidney dysfunction,1.017758284
Afghanistan,Low bone mineral density,0.047968811
Afghanistan,Low physical activity,0.319132553
Afghanistan,Maternal and neonatal disorders,1.330249509
Afghanistan,Mental disorders,0
Afghanistan,Musculoskeletal disorders,0.012385965
Afghanistan,Neglected tropical diseases and malaria,0.038487329
Afghanistan,Neoplasms,1.759520464
Afghanistan,Neurological disorders,0.227253412
Afghanistan,Non-optimal temperature,0.597181285
Afghanistan,Nutritional deficiencies,0.061803118
Afghanistan,Occupational risks,0.277467841
Afghanistan,Other environmental risks,0.725300197
Afghanistan,Other infectious diseases,0.712461988
Afghanistan,Other non-communicable diseases,0.913734893
Afghanistan,Respiratory infections and tuberculosis,1.239025341
Afghanistan,Self-harm and interpersonal violence,2.106937628
Afghanistan,Skin and subcutaneous diseases,0.005512671
Afghanistan,Substance use disorders,0.039639376
Afghanistan,Tobacco,1.350120869
Afghanistan,Transport injuries,0.55636258
Afghanistan,Unintentional injuries,0.618409361
Afghanistan,Unsafe sex,0.056270954
