"Country","Population (in million)","PM2.5 (in µg/m3)","International Development Funding 
in USD million","Number of government 
air quality monitors","Density of total 
number of monitors","Does the country 
have open data?","Evidence of government 
sponsored/operated 
air quality monitoring","Does the country have 
ambient air quality standard?","Opportunity Score"
"Zimbabwe",14.8,14.36,NA,NA,0.07,"N","N","N",11.6
"Zambia",19.09,18.5,0.005352,NA,0.16,"N","N","N",12.4
"Yemen",30.31,14.75,11.978233,NA,NA,"N","N","N",10.8
"Uzbekistan",30.99,20.04,208.961318,1,0.29,"N","Y","N",9.6
"Uganda",44.57,26.69,14.549741,1,1.1,"N","Y","N",9.2
"Turkmenistan",5.55,10.37,NA,2,0.54,"N","N","N",10
"Turkey",81.85,21.78,NA,346,4.33,"N","Y","N",9.4
"Tunisia",11.72,8.62,0.259846827133479,NA,NA,"N","Y","N",8.6
"Togo",8.28,15.4,0.139637,NA,1.33,"N","N","N",9.6
"Timor-Leste",1.39,10.53,NA,NA,2.15,"N","N","N",9.8
"Thailand",69.32,23.19,0.0909347317744154,258,5.16,"N","Y","Y",8.8
"Tanzania",61.74,16.38,0.478855,NA,0.21,"N","N","N",9.4
"Tajikistan",8.98,16.69,NA,3,0.33,"N","Y","N",10.4
"Swaziland",1.12,15.9,NA,NA,NA,"N","N","N",10.6
"Sudan",46.71,11.37,11.994919,3,0.06,"N","N","N",10
"Sri Lanka",22.83,18.79,NA,1,0.79,"N","Y","Y",9.8
"South Sudan",11.01,16.04,0.956087,NA,0.09,"N","N","N",9.6
"Somalia",12.04,9.16,0.797821,NA,NA,"N","N","N",9.6
"Singapore",5.84,13.01,NA,NA,NA,"N","Y","Y",9.6
"Sierra Leone",6.74,11.63,NA,NA,NA,"N","N","N",10.6
"Saudi Arabia",33.43,25.03,NA,4,0.24,"N","Y","Y",10
"Rwanda",12.93,32.36,0.171360846499999,2,0.46,"N","Y","N",11.6
"Republic of the Congo",5.46,32.41,0.177365,NA,NA,"N","N","N",11.8
"Qatar",2.45,30.05,NA,1,2.45,"N","Y","N",10
"Paraguay",7.26,13.69,NA,NA,NA,"N","Y","Y",9
"Papua New Guinea",7.19,12.86,NA,NA,0.14,"N","N","N",9.8
"Pakistan",238.04,44.73,19.145064,5,0.13,"N","Y","Y",8.2
"Oman",3.6,12.12,NA,NA,NA,"N","Y","N",8.2
"Nigeria",218.6,23,3.707943,3,0.27,"N","Y","N",9
"Niger",23.6,8.87,0.398843,NA,0.17,"N","N","N",9.2
"Nicaragua",6.22,13.56,0.024935,NA,NA,"N","N","N",11
"Nepal",30.46,51.71,5.628082,3,2.99,"N","Y","N",9.2
"Namibia",2.67,11.97,NA,NA,0.75,"N","N","N",9.8
