"Continent","Country","Population (in million)","PM2.5 (in µg/m3)","International Development Funding 
in USD million","Number of government 
air quality monitors","Does the country 
have open data?","Evidence of government 
sponsored/operated 
air quality monitoring","Does the country have 
ambient air quality standard?"
"Africa","Egypt",106.25,18.24,0,1,"N","Y","Y"
"Africa","Democratic Republic of the Congo",104.99,34.64,3.687839,1,"N","N","N"
"Africa","Sudan",46.71,11.37,11.994919,3,"N","N","N"
"Africa","Angola",33.43,16.89,NA,NA,"N","N","N"
"Africa","Mozambique",30.8,12.41,9.308776,NA,"N","N","N"
"Africa","Cameroon",28.57,30.98,0.598264,NA,"N","N","N"
"Africa","Côte d'Ivoire",28,10.76,NA,1,"N","N","N"
"Africa","Burkina Faso",21.36,8.52,13.798376,NA,"N","N","N"
"Africa","Malawi",19.97,16.16,0.523787,NA,"N","N","N"
"Africa","Zambia",19.09,18.5,0.005352,NA,"N","N","N"
"Africa","Zimbabwe",14.8,14.36,NA,NA,"N","N","N"
"Africa","Benin",13.28,17.42,11.24738,NA,"N","N","N"
"Africa","Rwanda",12.93,32.36,0.171360846499999,2,"N","Y","N"
"Africa","Guinea",12.8,11.2,NA,1,"N","N","N"
"Africa","Burundi",12.24,31.91,NA,NA,"N","N","N"
"Africa","Sierra Leone",6.74,11.63,NA,NA,"N","N","N"
"Africa","Eritrea",6.09,12.95,0.003548,NA,"N","N","N"
"Africa","Republic of the Congo",5.46,32.41,0.177365,NA,"N","N","N"
"Africa","Central African Republic",5.4,25.57,0.003748,NA,"N","N","N"
"Africa","Liberia",5.11,10.48,NA,NA,"N","N","N"
"Africa","Namibia",2.67,11.97,NA,NA,"N","N","N"
"Africa","Botswana",2.35,12.85,NA,NA,"N","N","N"
"Africa","Gabon",2.28,23.57,NA,1,"N","N","N"
"Africa","Gambia",2.21,7.06,NA,NA,"N","N","N"
"Africa","Lesotho",2.18,23.11,NA,NA,"N","N","N"
"Africa","Swaziland",1.12,15.9,NA,NA,"N","N","N"
"Africa","Djibouti",0.92,17.44,NA,NA,"N","N","N"
"Africa","Equatorial Guinea",0.84,29.06,NA,NA,"N","N","N"
"Asia","Iraq",39.65,24.62,1.029644,3,"N","Y","N"
"Asia","Afghanistan",37.46,16.9,NA,2,"N","N","Y"
"Asia","Saudi Arabia",33.43,25.03,NA,4,"N","Y","Y"
"Asia","Yemen",30.31,14.75,11.978233,NA,"N","N","N"
"Asia","Sri Lanka",22.83,18.79,NA,1,"N","Y","Y"
"Asia","Cambodia",17.3,19.84,77.694996,NA,"N","Y","N"
"Asia","Tajikistan",8.98,16.69,NA,3,"N","Y","N"
"Asia","Papua New Guinea",7.19,12.86,NA,NA,"N","N","N"
"Asia","Turkmenistan",5.55,10.37,NA,2,"N","N","N"
"Asia","Kuwait",3.01,17.16,NA,1,"N","Y","N"
"Asia","Qatar",2.45,30.05,NA,1,"N","Y","N"
"Asia","Timor-Leste",1.39,10.53,NA,NA,"N","N","N"
"Asia","Bahrain",1.37,17.92,NA,NA,"N","Y","N"
"Asia","Bhutan",0.86,30.59,NA,NA,"N","N","N"
"Europe","Belarus",9.44,12.75,NA,NA,"N","Y","N"
"Latin America","Argentina",45.89,11.15,NA,7,"N","Y","Y"
"Latin America","Guatemala",17.4,29.05,0.022909,2,"N","Y","N"
"Latin America","Bolivia",11.76,25.19,NA,NA,"N","Y","N"
"Latin America","Haiti",11.01,10.09,NA,NA,"N","N","N"
"Latin America","Honduras",9.31,25.14,NA,NA,"N","N","N"
"Latin America","El Salvador",6.49,25.84,0.011573,NA,"N","Y","Y"
"Latin America","Nicaragua",6.22,13.56,0.024935,NA,"N","N","N"
