"","iso_alpha3","country","population","pm2021","pop_sq","pm_sq","aq_monitoring","open_data","aq_standard","tot_monitor","govt","other","monitor_density","Funding in USD million","pm_qtile","pop_qtile","monitor_dens_qtile","gbd_dummy","registry","aq_mon_dummy","open_data_dummy","aq_std_dummy","govt_dummy","other_dummy","funding_dummy","pm_quintile","pop_quintile","mon_dens_quintile","opportunity_score","buckets"
"1","CMR","Cameroon",28568738,30.98,816172790912644,959.7604,"N","N","N",10,NA,10,3.50032962604088e-07,0.598264,5,4,2,1,1,1,1,1,1,1,0,1,0.8,0.4,9.2,"High"
"2","BTN","Bhutan",858187,30.59,736484926969,935.7481,"N","N","N",NA,NA,NA,NA,NA,5,1,NA,1,0,1,1,1,1,1,1,1,0.2,1,9.2,"High"
"3","GNQ","Equatorial Guinea",839050,29.06,704004902500,844.4836,"N","N","N",NA,NA,NA,NA,NA,5,1,NA,1,0,1,1,1,1,1,1,1,0.2,1,9.2,"High"
"4","LSO","Lesotho",2176476,23.11,4737047778576,534.0721,"N","N","N",NA,NA,NA,NA,NA,5,1,NA,1,0,1,1,1,1,1,1,1,0.2,1,9.2,"High"
"5","HND","Honduras",9310136,25.14,86678632338496,632.0196,"N","N","N",5,NA,5,5.37049082849058e-07,NA,5,3,2,1,0,1,1,1,1,1,1,1,0.6,0.4,9,"High"
"6","BDI","Burundi",12242276,31.91,149873321660176,1018.2481,"N","N","N",2,NA,2,1.6336831484603e-07,NA,5,3,1,1,0,1,1,1,1,1,1,1,0.6,0.2,8.8,"High"
"7","CAF","Central African Republic",5395752,25.57,29114139645504,653.8249,"N","N","N",2,NA,2,3.70661957777155e-07,0.003748,5,2,2,1,0,1,1,1,1,1,1,1,0.4,0.4,8.8,"High"
"8","ZMB","Zambia",19089070,18.5,364392593464900,342.25,"N","N","N",3,NA,3,1.57157996696539e-07,0.005352,4,4,1,1,0,1,1,1,1,1,1,0.8,0.8,0.2,8.8,"High"
"9","AGO","Angola",33430596,16.89,1117604748915216,285.2721,"N","N","N",3,NA,3,8.97381548327765e-08,NA,4,4,1,0,1,1,1,1,1,1,1,0.8,0.8,0.2,8.8,"High"
"10","COG","Republic of the Congo",5459096,32.41,29801729137216,1050.4081,"N","N","N",NA,NA,NA,NA,0.177365,5,2,NA,1,0,1,1,1,1,1,0,1,0.4,1,8.4,"High"
"11","MWI","Malawi",19970408,16.16,398817195686464,261.1456,"N","N","N",NA,NA,NA,NA,0.523787,3,4,NA,0,1,1,1,1,1,1,0,0.6,0.8,1,8.4,"High"
"12","ZWE","Zimbabwe",14804978,14.36,219187373580484,206.2096,"N","N","N",1,NA,1,6.75448487664082e-08,NA,3,3,1,0,1,1,1,1,1,1,1,0.6,0.6,0.2,8.4,"High"
"13","CIV","Côte d'Ivoire",28001030,10.76,784057681060900,115.7776,"N","N","N",5,1,4,1.7856485993551e-07,NA,2,4,1,0,1,1,1,1,1,1,1,0.4,0.8,0.2,8.4,"High"
"14","COD","Democratic Republic of the Congo",104994937,34.64,11023936795633968,1199.9296,"N","N","N",5,1,4,4.76213438748956e-08,3.687839,5,5,1,1,0,1,1,1,1,1,0,1,1,0.2,8.2,"High"
"15","GTM","Guatemala",17402899,29.05,302860893604201,843.9025,"Y","N","N",38,2,36,2.18354424742682e-06,0.022909,5,3,3,1,1,0,1,1,1,0,1,1,0.6,0.6,8.2,"High"
"16","LAO","Laos",7594304,27.16,57673453244416,737.6656,"N","N","N",35,7,28,4.60871727020672e-06,0.034281,5,2,4,1,0,1,1,1,1,0,1,1,0.4,0.8,8.2,"High"
"17","BOL","Bolivia",11759069,25.19,138275703746761,634.5361,"Y","N","N",15,NA,15,1.27561118996751e-06,NA,5,3,3,1,1,0,1,1,1,0,1,1,0.6,0.6,8.2,"High"
"18","RWA","Rwanda",12934347,32.36,167297332316409,1047.1696,"Y","N","N",6,2,4,4.63881168488831e-07,0.171360846499999,5,3,2,1,1,0,1,1,1,1,0,1,0.6,0.4,8,"High"
"19","IRQ","Iraq",39646281,24.62,1571827597130961,606.1444,"Y","N","N",7,3,4,1.76561327404202e-07,1.029644,5,4,1,1,1,0,1,1,1,1,0,1,0.8,0.2,8,"High"
"20","GAB","Gabon",2277423,23.57,5186655520929,555.5449,"N","N","N",14,1,13,6.14729894270849e-06,NA,5,1,4,1,0,1,1,1,1,0,1,1,0.2,0.8,8,"High"
"21","BHR","Bahrain",1367240,17.92,1869345217600,321.1264,"Y","N","N",NA,NA,NA,NA,NA,4,1,NA,1,0,0,1,1,1,1,1,0.8,0.2,1,8,"High"
"22","DJI","Djibouti",921088,17.44,848403103744,304.1536,"N","N","N",NA,NA,NA,NA,NA,4,1,NA,0,0,1,1,1,1,1,1,0.8,0.2,1,8,"High"
"23","NIC","Nicaragua",6218420,13.56,38668747296400,183.8736,"N","N","N",NA,NA,NA,NA,0.024935,3,2,NA,0,0,1,1,1,1,1,1,0.6,0.4,1,8,"High"
"24","BLR","Belarus",9439125,12.75,89097080765625,162.5625,"Y","N","N",NA,NA,NA,NA,NA,2,3,NA,1,0,0,1,1,1,1,1,0.4,0.6,1,8,"High"
"25","HTI","Haiti",11010430,10.09,121229568784900,101.8081,"N","N","N",NA,NA,NA,NA,NA,2,3,NA,0,0,1,1,1,1,1,1,0.4,0.6,1,8,"High"
"26","GMB","Gambia",2207303,7.06,4872186533809,49.8436,"N","N","N",3,NA,3,1.35912468745795e-06,NA,1,1,3,0,1,1,1,1,1,1,1,0.2,0.2,0.6,8,"High"
"27","QAT","Qatar",2445028,30.05,5978161920784,903.0025,"Y","N","N",6,1,5,2.45395962745621e-06,NA,5,1,3,1,0,0,1,1,1,1,1,1,0.2,0.6,7.8,"High"
"28","SWZ","Swaziland",1118655,15.9,1251389009025,252.81,"N","N","N",NA,NA,NA,NA,NA,3,1,NA,0,0,1,1,1,1,1,1,0.6,0.2,1,7.8,"High"
