"iso","datetime","count"
"AF","2019-01-01","2"
"AF","2020-01-01","2"
"AF","2021-01-01","2"
"AM","2022-01-01","1"
"AM","2023-01-01","1"
"AR","2021-01-01","1"
"AR","2022-01-01","1"
"AZ","2022-01-01","1"
"AZ","2023-01-01","1"
"AZ","2024-01-01","1"
"BA","2021-01-01","1"
"BA","2022-01-01","2"
"BA","2023-01-01","2"
"BA","2024-01-01","2"
"BD","2016-01-01","2"
"BD","2017-01-01","1"
"BD","2018-01-01","1"
"BD","2019-01-01","1"
"BD","2020-01-01","1"
"BD","2021-01-01","1"
"BD","2022-01-01","1"
"BD","2023-01-01","1"
"BD","2024-01-01","1"
"BH","2016-01-01","1"
"BH","2017-01-01","1"
"BH","2018-01-01","1"
"BH","2019-01-01","1"
"BH","2020-01-01","1"
"BH","2021-01-01","1"
"BH","2022-01-01","1"
"BH","2023-01-01","1"
"BH","2024-01-01","1"
"BR","2023-01-01","1"
"BR","2024-01-01","1"
"BZ","2023-01-01","1"
"BZ","2024-01-01","1"
"CD","2022-01-01","1"
"CD","2023-01-01","1"
"CD","2024-01-01","1"
"CI","2020-01-01","1"
"CI","2021-01-01","1"
"CI","2022-01-01","1"
"CI","2023-01-01","1"
"CI","2024-01-01","1"
"CN","2019-01-01","5"
"CN","2020-01-01","5"
"CN","2021-01-01","4"
"CN","2022-01-01","5"
"CN","2023-01-01","6"
"CN","2024-01-01","4"
"CO","2016-01-01","2"
"CO","2017-01-01","1"
"CO","2018-01-01","1"
"CO","2019-01-01","1"
"CO","2020-01-01","1"
"CO","2021-01-01","1"
"CO","2022-01-01","1"
"CO","2023-01-01","1"
"CO","2024-01-01","1"
"CR","2019-01-01","1"
"CR","2020-01-01","1"
"CR","2021-01-01","1"
"CR","2022-01-01","1"
"CR","2023-01-01","1"
"CR","2024-01-01","1"
"CW","2018-01-01","1"
"CW","2019-01-01","1"
"CW","2020-01-01","1"
"CW","2021-01-01","1"
"CW","2022-01-01","1"
"CW","2023-01-01","1"
"CW","2024-01-01","1"
"DZ","2019-01-01","1"
"DZ","2020-01-01","1"
"DZ","2021-01-01","1"
"DZ","2022-01-01","1"
"DZ","2023-01-01","1"
"DZ","2024-01-01","1"
"EG","2022-01-01","1"
"EG","2023-01-01","2"
"EG","2024-01-01","1"
"ET","2016-01-01","2"
"ET","2017-01-01","2"
"ET","2018-01-01","2"
"ET","2019-01-01","2"
"ET","2020-01-01","2"
"ET","2021-01-01","3"
"ET","2022-01-01","2"
"ET","2023-01-01","2"
"ET","2024-01-01","2"
"GH","2020-01-01","1"
"GH","2021-01-01","1"
"GH","2022-01-01","1"
"GH","2023-01-01","1"
"GH","2024-01-01","1"
"GN","2020-01-01","1"
"GN","2021-01-01","1"
"GN","2022-01-01","1"
"GN","2023-01-01","1"
"GN","2024-01-01","1"
"GT","2019-01-01","2"
"GT","2020-01-01","2"
"GT","2021-01-01","2"
"GT","2022-01-01","2"
"GT","2023-01-01","2"
"GT","2024-01-01","3"
"ID","2016-01-01","3"
"ID","2017-01-01","1"
"ID","2018-01-01","1"
"ID","2019-01-01","1"
"ID","2020-01-01","1"
"ID","2021-01-01","1"
"ID","2022-01-01","2"
"ID","2023-01-01","2"
"ID","2024-01-01","2"
"IN","2016-01-01","7"
"IN","2017-01-01","3"
"IN","2018-01-01","3"
"IN","2019-01-01","3"
"IN","2020-01-01","3"
"IN","2021-01-01","3"
"IN","2022-01-01","5"
"IN","2023-01-01","5"
"IN","2024-01-01","5"
"IQ","2019-01-01","2"
"IQ","2020-01-01","2"
"IQ","2021-01-01","2"
"IQ","2022-01-01","2"
"IQ","2023-01-01","2"
"IQ","2024-01-01","2"
"JO","2019-01-01","2"
"JO","2020-01-01","2"
"JO","2021-01-01","1"
"JO","2022-01-01","2"
"JO","2023-01-01","2"
"JO","2024-01-01","2"
"KE","2018-01-01","2"
"KE","2022-01-01","1"
"KE","2023-01-01","1"
"KE","2024-01-01","1"
"KG","2019-01-01","2"
"KG","2020-01-01","2"
"KG","2021-01-01","2"
"KG","2022-01-01","2"
"KG","2023-01-01","2"
"KG","2024-01-01","2"
"KW","2017-01-01","1"
"KW","2018-01-01","1"
"KW","2019-01-01","1"
"KW","2020-01-01","1"
"KW","2021-01-01","1"
"KW","2022-01-01","1"
"KW","2023-01-01","1"
"KW","2024-01-01","1"
"KZ","2018-01-01","1"
"KZ","2019-01-01","1"
"KZ","2020-01-01","1"
"KZ","2021-01-01","1"
"KZ","2022-01-01","2"
"KZ","2023-01-01","2"
"KZ","2024-01-01","2"
"LA","2019-01-01","1"
"LA","2020-01-01","1"
"LA","2021-01-01","1"
"LA","2022-01-01","1"
"LA","2023-01-01","1"
"LA","2024-01-01","1"
"LK","2017-01-01","1"
"LK","2018-01-01","1"
"LK","2019-01-01","2"
"LK","2020-01-01","2"
"LK","2021-01-01","2"
"LK","2022-01-01","2"
"LK","2023-01-01","2"
"LK","2024-01-01","2"
"MD","2022-01-01","1"
"MD","2023-01-01","1"
"MD","2024-01-01","1"
"MG","2020-01-01","1"
"MG","2021-01-01","1"
"MG","2022-01-01","1"
"MG","2023-01-01","1"
"MG","2024-01-01","1"
"ML","2020-01-01","1"
"ML","2021-01-01","1"
"ML","2022-01-01","1"
"ML","2023-01-01","1"
"ML","2024-01-01","1"
"MM","2019-01-01","1"
"MM","2020-01-01","1"
"MM","2021-01-01","1"
"MM","2022-01-01","1"
"MM","2023-01-01","1"
"MM","2024-01-01","1"
"MN","2016-01-01","2"
"MN","2017-01-01","1"
"MN","2018-01-01","1"
"MN","2019-01-01","1"
"MN","2020-01-01","1"
"MN","2021-01-01","1"
"MN","2022-01-01","1"
"MN","2023-01-01","1"
"MN","2024-01-01","1"
"MY","2022-01-01","1"
"MY","2023-01-01","1"
"MY","2024-01-01","1"
"MZ","2024-01-01","2"
"NG","2021-01-01","1"
"NG","2022-01-01","2"
"NG","2023-01-01","2"
"NG","2024-01-01","2"
"NP","2017-01-01","2"
"NP","2018-01-01","2"
"NP","2019-01-01","2"
"NP","2020-01-01","2"
"NP","2021-01-01","2"
"NP","2022-01-01","2"
"NP","2023-01-01","2"
"NP","2024-01-01","2"
"PE","2016-01-01","2"
"PE","2017-01-01","1"
"PE","2018-01-01","1"
"PE","2019-01-01","1"
"PE","2020-01-01","1"
"PE","2021-01-01","1"
"PE","2022-01-01","1"
"PE","2023-01-01","1"
"PE","2024-01-01","1"
"PH","2023-01-01","1"
"PH","2024-01-01","1"
"PK","2019-01-01","4"
"PK","2020-01-01","4"
"PK","2021-01-01","5"
"PK","2022-01-01","5"
"PK","2023-01-01","5"
"PK","2024-01-01","5"
"PR","2016-01-01","3"
"PR","2017-01-01","3"
"PR","2018-01-01","4"
"PR","2019-01-01","5"
"PR","2020-01-01","2"
"PR","2021-01-01","3"
"PR","2022-01-01","3"
"PR","2023-01-01","3"
"PR","2024-01-01","3"
"PY","2023-01-01","1"
"PY","2024-01-01","1"
"QA","2022-01-01","1"
"QA","2023-01-01","1"
"QA","2024-01-01","1"
"RW","2022-01-01","1"
"RW","2023-01-01","1"
"RW","2024-01-01","1"
"SA","2019-01-01","2"
"SA","2020-01-01","2"
"SA","2021-01-01","3"
"SA","2022-01-01","2"
"SA","2023-01-01","1"
"SA","2024-01-01","2"
"SD","2020-01-01","3"
"SD","2021-01-01","3"
"SD","2022-01-01","3"
"SD","2023-01-01","3"
"SG","2022-01-01","5"
"SG","2023-01-01","5"
"SG","2024-01-01","5"
"TD","2020-01-01","1"
"TD","2021-01-01","1"
"TD","2022-01-01","1"
"TD","2023-01-01","1"
"TD","2024-01-01","1"
"TH","2021-01-01","1"
"TH","2023-01-01","1"
"TH","2024-01-01","1"
"TJ","2019-01-01","2"
"TJ","2020-01-01","2"
"TJ","2021-01-01","2"
"TJ","2022-01-01","2"
"TJ","2023-01-01","2"
"TJ","2024-01-01","2"
"TM","2019-01-01","2"
"TM","2020-01-01","2"
"TM","2021-01-01","2"
"TM","2022-01-01","2"
"TM","2023-01-01","2"
"TM","2024-01-01","2"
"UG","2017-01-01","1"
"UG","2018-01-01","1"
"UG","2019-01-01","1"
"UG","2020-01-01","1"
"UG","2021-01-01","1"
"UG","2022-01-01","1"
"UG","2023-01-01","1"
"UG","2024-01-01","1"
"UZ","2018-01-01","1"
"UZ","2019-01-01","1"
"UZ","2020-01-01","1"
"UZ","2021-01-01","1"
"UZ","2022-01-01","1"
"UZ","2023-01-01","1"
"UZ","2024-01-01","1"
"VN","2016-01-01","2"
"VN","2017-01-01","1"
"VN","2018-01-01","1"
"VN","2019-01-01","1"
"VN","2020-01-01","1"
"VN","2021-01-01","1"
"VN","2022-01-01","1"
"VN","2023-01-01","1"
"VN","2024-01-01","1"
"XK","2016-01-01","2"
"XK","2017-01-01","1"
"XK","2018-01-01","1"
"XK","2019-01-01","1"
"XK","2020-01-01","2"
"XK","2021-01-01","2"
"XK","2022-01-01","2"
"XK","2023-01-01","2"
"XK","2024-01-01","2"
