Country,Continent,AR region,"National level air quality plan, with clear goals",Latest update to the plan (Year)
Angola,Africa,Central and West Africa,,
Benin,Africa,Central and West Africa,,
Burkina Faso,Africa,Central and West Africa,,
Burundi,Africa,Central and West Africa,,
Cabo Verde,Africa,Central and West Africa,,
Cameroon,Africa,Central and West Africa,,
Central African Republic,Africa,Central and West Africa,,
Chad,Africa,Central and West Africa,,
Côte d'Ivoire,Africa,Central and West Africa,,
Democratic Republic of the Congo,Africa,Central and West Africa,,
Equatorial Guinea,Africa,Central and West Africa,,
Gabon,Africa,Central and West Africa,,
Gambia,Africa,Central and West Africa,,
Ghana,Africa,Central and West Africa,,
Guinea,Africa,Central and West Africa,,
Guinea-Bissau,Africa,Central and West Africa,,
Liberia,Africa,Central and West Africa,,
Mali,Africa,Central and West Africa,,
Mauritania,Africa,Central and West Africa,,
Niger,Africa,Central and West Africa,,
Nigeria,Africa,Central and West Africa,Yes,2021
Republic of the Congo,Africa,Central and West Africa,,
Rwanda,Africa,Central and West Africa,Yes,2010
São Tomé and Príncipe,Africa,Central and West Africa,,
Senegal,Africa,Central and West Africa,Yes,2003
Sierra Leone,Africa,Central and West Africa,,
Togo,Africa,Central and West Africa,,
Algeria,Africa,Middle East and North Africa,,
Djibouti,Africa,Middle East and North Africa,,
Egypt,Africa,Middle East and North Africa,,
Libya,Africa,Middle East and North Africa,,
Morocco,Africa,Middle East and North Africa,Yes ,2021
Tunisia,Africa,Middle East and North Africa,,
Botswana,Africa,,,
Bouvet Island,Africa,,,
British Indian Ocean Territory,Africa,,,
Comoros,Africa,,,
Eritrea,Africa,,,
Ethiopia,Africa,,,
French Southern Territories,Africa,,,
Kenya,Africa,,Yes,2024
Lesotho,Africa,,,
Madagascar,Africa,,,
Malawi,Africa,,,
Mauritius,Africa,,,
Mayotte,Africa,,,
Mozambique,Africa,,,
Namibia,Africa,,,
Réunion,Africa,,,
"Saint Helena, Ascension and Tris",Africa,,,
Seychelles,Africa,,,
Somalia,Africa,,,
South Africa,Africa,,Yes,2014
South Sudan,Africa,,,
Sudan,Africa,,,
Swaziland,Africa,,Yes,2010
Tanzania,Africa,,,
Uganda,Africa,,,
Western Sahara,Africa,,,
Zambia,Africa,,,
Zimbabwe,Africa,,,
Afghanistan,Asia,South Asia,,
Bahrain,Asia,Middle East and North Africa,,
Bangladesh,Asia,South Asia,Yes,2024
Bhutan,Asia,South Asia,,
Brunei,Asia,South East Asia,,
Cambodia,Asia,South East Asia,Yes,2021
China,Asia,,Yes,2023
India,Asia,South Asia,Yes,2023
Indonesia,Asia,South East Asia,,
Iran,Asia,Middle East and North Africa,Yes,2017
Iraq,Asia,Middle East and North Africa,,
Israel,Asia,,Yes,2018
Japan,Asia,,,
Jordan,Asia,Middle East and North Africa,,
Kuwait,Asia,Middle East and North Africa,,
Kyrgyzstan,Asia,,,
Laos,Asia,South East Asia,,
Lebanon,Asia,Middle East and North Africa,Yes,2017
Malaysia,Asia,South East Asia,Prospective,
Maldives,Asia,South Asia,Yes,2019
Mongolia,Asia,,,
Myanmar,Asia,South East Asia,,
Nepal,Asia,South Asia,,
North Korea,Asia,,,
Oman,Asia,Middle East and North Africa,,
Pakistan,Asia,South Asia,Yes,2023
Palestine,Asia,,,
Paracel Islands,Asia,,,
Philippines,Asia,South East Asia,,
Qatar,Asia,Middle East and North Africa,,
Saudi Arabia,Asia,Middle East and North Africa,,
Singapore,Asia,South East Asia,Yes,2022
South Korea,Asia,,Yes,2018
Spratly Islands,Asia,,,
Sri Lanka,Asia,South Asia,Yes,2018
Syria,Asia,,,
Taiwan,Asia,,Yes,2020
Tajikistan,Asia,,,
Thailand,Asia,South East Asia,Prospective,2025
Timor-Leste,Asia,South East Asia,,
Turkmenistan,Asia,,,
United Arab Emirates,Asia,Middle East and North Africa,Yes,2021
Uzbekistan,Asia,,,
Vietnam,Asia,South East Asia,Yes,2021
Yemen,Asia,Middle East and North Africa,,
Akrotiri and Dhekelia,Europe,,Yes,
Åland,Europe,,,
Albania,Europe,US and Europe,Yes,
Andorra,Europe,US and Europe,,
Armenia,Europe,US and Europe,,
Austria,Europe,US and Europe,Yes,2019
Azerbaijan,Europe,US and Europe,,
Belarus,Europe,US and Europe,,
Belgium,Europe,US and Europe,Yes,2023
Bosnia and Herzegovina,Europe,US and Europe,,
Bulgaria,Europe,US and Europe,Yes,2019
Croatia,Europe,US and Europe,Yes,2019
Cyprus,Europe,US and Europe,Yes,2023
Czechia,Europe,US and Europe,Yes,2023
Denmark,Europe,US and Europe,Yes,2023
Estonia,Europe,US and Europe,,2023
Faroe Islands,Europe,,,
Finland,Europe,US and Europe,Yes,2019
France,Europe,US and Europe,Yes,2023
Georgia,Europe,US and Europe,,
Germany,Europe,US and Europe,Yes,2019
Gibraltar,Europe,,,
Greece,Europe,US and Europe,Yes,2019
Guernsey,Europe,,,
Hungary,Europe,US and Europe,Yes,2019
Iceland,Europe,US and Europe,,
Ireland,Europe,US and Europe,Yes,2023
Isle of Man,Europe,,,
Italy,Europe,US and Europe,Yes,2019
Jersey,Europe,,,
Kazakhstan,Europe,US and Europe,,
Kosovo,Europe,US and Europe,,
Latvia,Europe,US and Europe,Yes,2019
Liechtenstein,Europe,US and Europe,,
Lithuania,Europe,US and Europe,Yes,2022
Luxembourg,Europe,US and Europe,Yes,2023
Macedonia,Europe,US and Europe,,
Malta,Europe,US and Europe,Yes,2023
Moldova,Europe,US and Europe,,
Monaco,Europe,US and Europe,,
Montenegro,Europe,US and Europe,,
Netherlands,Europe,US and Europe,Yes,2023
Northern Cyprus,Europe,US and Europe,,
Norway,Europe,US and Europe,,
Poland,Europe,US and Europe,Yes,2023
Portugal,Europe,US and Europe,Yes,2019
Romania,Europe,US and Europe,Yes,2023
Russia,Europe,US and Europe,Yes,2020
San Marino,Europe,US and Europe,,
Serbia,Europe,US and Europe,,
Slovakia,Europe,US and Europe,Yes,2019
Slovenia,Europe,US and Europe,Yes,2019
Spain,Europe,US and Europe,Yes,2023
Svalbard and Jan Mayen,Europe,US and Europe,,
Sweden,Europe,US and Europe,Yes,2023
Switzerland,Europe,US and Europe,,
Turkey,Europe,US and Europe,,
Ukraine,Europe,US and Europe,,
United Kingdom,Europe,US and Europe,Yes,2023
Vatican City,Europe,US and Europe,,
Anguilla,North America,,,
Antigua and Barbuda,North America,,,
Aruba,North America,,,
Bahamas,North America,,,
Barbados,North America,,,
Belize,North America,,,
Bermuda,North America,,,
"Bonaire, Sint Eustatius and Saba",North America,,,
British Virgin Islands,North America,,,
Canada,North America,,Yes,2023
Cayman Islands,North America,,,
Clipperton Island,North America,,,
Costa Rica,North America,Latin America,,
Cuba,North America,Latin America,,
Curaçao,North America,,,
Dominica,North America,,,
Dominican Republic,North America,Latin America,,
El Salvador,North America,Latin America,,
Greenland,North America,,,
Grenada,North America,,,
Guadeloupe,North America,,,
Guatemala,North America,Latin America,,
Haiti,North America,Latin America,,
Honduras,North America,Latin America,,
Jamaica,North America,,,
Martinique,North America,,,
México,North America,Latin America,Yes,2017
Montserrat,North America,,,
Nicaragua,North America,Latin America,,
Panama,North America,Latin America,,
Puerto Rico,North America,Latin America,,
Saint Kitts and Nevis,North America,,,
Saint Lucia,North America,,,
Saint Pierre and Miquelon,North America,,,
Saint Vincent and the Grenadines,North America,,,
Saint-Barthélemy,North America,,,
Saint-Martin,North America,,,
Sint Maarten,North America,,,
Trinidad and Tobago,North America,,,
Turks and Caicos Islands,North America,,,
United States,North America,US and Europe,Yes,2022
"Virgin Islands, U.S.",North America,,,
American Samoa,Oceania,,,
Australia,Oceania,,Yes,2022
Christmas Island,Oceania,,,
Cocos Islands,Oceania,,,
Cook Islands,Oceania,,,
Fiji,Oceania,,Yes,2007
French Polynesia,Oceania,,,
Guam,Oceania,,,
Heard Island and McDonald Island,Oceania,,,
Kiribati,Oceania,,,
Marshall Islands,Oceania,,,
Micronesia,Oceania,,,
Nauru,Oceania,,,
New Caledonia,Oceania,,,
New Zealand,Oceania,,,
Niue,Oceania,,,
Norfolk Island,Oceania,,,
Northern Mariana Islands,Oceania,,,
Palau,Oceania,,,
Papua New Guinea,Oceania,,,
Samoa,Oceania,,,
Solomon Islands,Oceania,,,
Tokelau,Oceania,,,
Tonga,Oceania,,,
Tuvalu,Oceania,,,
United States Minor Outlying Islands,Oceania,,,
Vanuatu,Oceania,,,
Wallis and Futuna,Oceania,,,
Argentina,South America,Latin America,,
Bolivia,South America,Latin America,,
Brazil,South America,Latin America,Yes,2024
Chile,South America,Latin America,,
Colombia,South America,Latin America,,
Ecuador,South America,Latin America,,
Falkland Islands,South America,,,
French Guiana,South America,,,
Guyana,South America,,,
Paraguay,South America,Latin America,,
Peru,South America,Latin America,,
Pitcairn Islands,South America,,,
South Georgia and the South Sandwich islands,South America,,,
Suriname,South America,,,
Uruguay,South America,Latin America,,
Venezuela,South America,Latin America,,
