country,cause_of_death,lyl,cause/risk
Afghanistan,Ambient ozone pollution,0.050721247,Risk
Afghanistan,Cardiovascular diseases,7.571389895,Cause
Afghanistan,Child and maternal malnutrition,1.322450293,Risk
Afghanistan,Childhood sexual abuse and bullying,0,Cause
Afghanistan,Chronic respiratory diseases,0.609249509,Cause
Afghanistan,Diabetes and kidney diseases,0.855288491,Cause
Afghanistan,Dietary risks,2.919159851,Risk
Afghanistan,Digestive diseases,0.528118907,Cause
Afghanistan,Drug use,0.052867447,Risk
Afghanistan,Enteric infections,0.231360624,Cause
Afghanistan,HIV/AIDS and sexually transmitted infections,0.030664717,Cause
Afghanistan,High LDL cholesterol,1.199302148,Risk
Afghanistan,High alcohol use,0.030816764,Cause
Afghanistan,High body-mass index,1.31747758,Risk
Afghanistan,High fasting plasma glucose,1.522313832,Risk
Afghanistan,High systolic blood pressure,3.215961018,Risk
Afghanistan,Intimate partner violence,0.024853801,Risk
Afghanistan,Kidney dysfunction,0.991302143,Cause
Afghanistan,Low bone mineral density,0.075968811,Risk
Afghanistan,Low physical activity,0.182688108,Risk
Afghanistan,Maternal and neonatal disorders,1.152810911,Cause
Afghanistan,Mental disorders,0,Cause
Afghanistan,Musculoskeletal disorders,0.020107212,Cause
Afghanistan,Neglected tropical diseases and malaria,0.013461988,Cause
Afghanistan,Neoplasms,1.497029232,Cause
Afghanistan,Neurological disorders,0.248163742,Cause
Afghanistan,Non-optimal temperature,0.505321636,Cause
Afghanistan,Nutritional deficiencies,0.048980506,Cause
Afghanistan,Occupational risks,0.531454201,Risk
Afghanistan,Other environmental risks,0.831846008,Risk
Afghanistan,Other infectious diseases,0.519366471,Cause
Afghanistan,Other non-communicable diseases,0.988929824,Cause
Afghanistan,PM2.5 relative to WHO guideline,1.56,Risk
Afghanistan,Respiratory infections and tuberculosis,7.474754443,Cause
Afghanistan,Self-harm and interpersonal violence,3.232284645,Cause
Afghanistan,Skin and subcutaneous diseases,0.011923977,Cause
Afghanistan,Substance use disorders,0.041101365,Cause
Afghanistan,Tobacco,1.006354787,Risk
Afghanistan,Transport injuries,0.62096492,Cause
