iso,datetime,count
,,
-99,1/1/23,1
,,
-99,1/1/24,1
,,
AD,1/1/17,2
,,
AD,1/1/18,2
,,
AD,1/1/19,2
,,
AD,1/1/20,2
,,
AD,1/1/21,2
,,
AD,1/1/22,2
,,
AD,1/1/23,2
,,
AD,1/1/24,2
,,
AE,1/1/19,1
,,
AE,1/1/20,1
,,
AE,1/1/22,18
,,
AE,1/1/23,18
,,
AE,1/1/24,17
,,
AQ,1/1/18,1
,,
AQ,1/1/19,1
,,
AQ,1/1/20,2
,,
AQ,1/1/21,1
,,
AR,1/1/15,1
,,
AR,1/1/16,1
,,
AR,1/1/17,4
,,
AR,1/1/21,3
,,
AR,1/1/22,3
,,
AR,1/1/23,5
,,
AR,1/1/24,5
,,
AT,1/1/16,146
,,
AT,1/1/17,149
,,
AT,1/1/20,141
,,
AT,1/1/21,139
,,
AT,1/1/22,136
,,
AT,1/1/23,162
,,
AT,1/1/24,247
,,
AU,1/1/16,26
,,
AU,1/1/17,87
,,
AU,1/1/18,115
,,
AU,1/1/19,77
,,
AU,1/1/20,121
,,
AU,1/1/21,173
,,
AU,1/1/22,145
,,
AU,1/1/23,125
,,
AU,1/1/24,127
,,
BA,1/1/16,11
,,
BA,1/1/17,15
,,
BA,1/1/18,17
,,
BA,1/1/19,5
,,
BA,1/1/20,5
,,
BA,1/1/21,5
,,
BA,1/1/22,5
,,
BA,1/1/23,1
,,
BA,1/1/24,28
,,
BE,1/1/16,88
,,
BE,1/1/17,89
,,
BE,1/1/18,87
,,
BE,1/1/19,85
,,
BE,1/1/20,83
,,
BE,1/1/21,82
,,
BE,1/1/22,79
,,
BE,1/1/23,88
,,
BE,1/1/24,153
,,
BG,1/1/20,22
,,
BG,1/1/21,22
,,
BG,1/1/22,24
,,
BG,1/1/23,24
,,
BG,1/1/24,33
,,
BR,1/1/17,54
,,
BR,1/1/21,54
,,
BR,1/1/22,61
,,
BR,1/1/23,61
,,
BR,1/1/24,7
,,
CH,1/1/16,3
,,
CH,1/1/17,24
,,
CH,1/1/18,25
,,
CH,1/1/19,24
,,
CH,1/1/20,24
,,
CH,1/1/21,24
,,
CH,1/1/22,23
,,
CH,1/1/23,24
,,
CH,1/1/24,45
,,
CL,1/1/16,97
,,
CL,1/1/17,97
,,
CL,1/1/18,96
,,
CL,1/1/19,105
,,
CL,1/1/20,119
,,
CL,1/1/21,120
,,
CL,1/1/22,128
,,
CL,1/1/23,131
,,
CL,1/1/24,136
,,
CN,1/1/16,5
,,
CN,1/1/17,56
,,
CN,1/1/18,1380
,,
CN,1/1/19,1397
,,
CN,1/1/20,1420
,,
CN,1/1/21,1642
,,
