"iso","datetime","count"
"CA","2016-01-01","141"
"CA","2017-01-01","130"
"CA","2018-01-01","156"
"CA","2019-01-01","151"
"CA","2020-01-01","151"
"CA","2021-01-01","183"
"CA","2022-01-01","224"
"CA","2023-01-01","272"
"CA","2024-01-01","247"
"MX","2016-01-01","49"
"MX","2017-01-01","49"
"MX","2018-01-01","47"
"MX","2019-01-01","45"
"MX","2020-01-01","162"
"MX","2021-01-01","189"
"MX","2022-01-01","62"
"MX","2023-01-01","210"
"MX","2024-01-01","184"
"US","2016-01-01","1697"
"US","2017-01-01","1731"
"US","2018-01-01","1744"
"US","2019-01-01","1778"
"US","2020-01-01","1837"
"US","2021-01-01","1745"
"US","2022-01-01","1917"
"US","2023-01-01","2027"
"US","2024-01-01","2060"
